Sunderland,1-2,Man Utd,Saturday 5th October 2013 
Everton,3-2,Newcastle,Monday 30th September 2013 
Stoke,0-1,Norwich,Sunday 29th September 2013 
Sunderland,1-3,Liverpool,Sunday 29th September 2013 
Tottenham,1-1,Chelsea,Saturday 28th September 2013 
Aston Villa,3-2,Man City,Saturday 28th September 2013 
Fulham,1-2,Cardiff,Saturday 28th September 2013 
Hull,1-0,West Ham,Saturday 28th September 2013 
Man Utd,1-2,West Brom,Saturday 28th September 2013 
Southampton,2-0,Crystal Palace,Saturday 28th September 2013 
Swansea,1-2,Arsenal,Saturday 28th September 2013 
Arsenal,3-1,Stoke,Sunday 22nd September 2013 
Crystal Palace,0-2,Swansea,Sunday 22nd September 2013 
Cardiff,0-1,Tottenham,Sunday 22nd September 2013 
Man City,4-1,Man Utd,Sunday 22nd September 2013 
Norwich,0-1,Aston Villa,Saturday 21st September 2013 
Liverpool,0-1,Southampton,Saturday 21st September 2013 
Newcastle,2-3,Hull,Saturday 21st September 2013 
West Brom,3-0,Sunderland,Saturday 21st September 2013 
West Ham,2-3,Everton,Saturday 21st September 2013 
Chelsea,2-0,Fulham,Saturday 21st September 2013 
Swansea,2-2,Liverpool,Monday 16th September 2013 
Southampton,0-0,West Ham,Sunday 15th September 2013 
Man Utd,2-0,Crystal Palace,Saturday 14th September 2013 
Aston Villa,1-2,Newcastle,Saturday 14th September 2013 
Fulham,1-1,West Brom,Saturday 14th September 2013 
Hull,1-1,Cardiff,Saturday 14th September 2013 
Stoke,0-0,Man City,Saturday 14th September 2013 
Sunderland,1-3,Arsenal,Saturday 14th September 2013 
Tottenham,2-0,Norwich,Saturday 14th September 2013 
Everton,1-0,Chelsea,Saturday 14th September 2013 
Liverpool,1-0,Man Utd,Sunday 1st September 2013 
West Brom,0-2,Swansea,Sunday 1st September 2013 
Arsenal,1-0,Tottenham,Sunday 1st September 2013 
Man City,2-0,Hull,Saturday 31st August 2013 
Cardiff,0-0,Everton,Saturday 31st August 2013 
Newcastle,1-0,Fulham,Saturday 31st August 2013 
Norwich,1-0,Southampton,Saturday 31st August 2013 
West Ham,0-1,Stoke,Saturday 31st August 2013 
Crystal Palace,3-1,Sunderland,Saturday 31st August 2013 
Man Utd,0-0,Chelsea,Monday 26th August 2013 
Cardiff,3-2,Man City,Sunday 25th August 2013 
Tottenham,1-0,Swansea,Sunday 25th August 2013 
Fulham,1-3,Arsenal,Saturday 24th August 2013 
Everton,0-0,West Brom,Saturday 24th August 2013 
Hull,1-0,Norwich,Saturday 24th August 2013 
Newcastle,0-0,West Ham,Saturday 24th August 2013 
Southampton,1-1,Sunderland,Saturday 24th August 2013 
Stoke,2-1,Crystal Palace,Saturday 24th August 2013 
Aston Villa,0-1,Liverpool,Saturday 24th August 2013 
Chelsea,2-1,Aston Villa,Wednesday 21st August 2013 
Man City,4-0,Newcastle,Monday 19th August 2013 
Crystal Palace,0-1,Tottenham,Sunday 18th August 2013 
Chelsea,2-0,Hull,Sunday 18th August 2013 
Liverpool,1-0,Stoke,Saturday 17th August 2013 
